# File Name: Hebrew_Lexicon_Tyndale.txt
# File Size: 4349020     
# File Date: 06/01/2026 18:30:14
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Hebrew Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Abridged BDB by https://onlinebible.net, edited by Tyndale House Cambridge
# Source Definitions Copyright: Larry Pierce, larrypierce@alumni.uwaterloo.ca
# Source Definitions Copyright: Explicit usage permission required to use definition in your application
# Source Definitions Copyright: Larry Pierce granted permission for Nainoia Inc applications on 3/11/2019
#
# COLUMNS
#	STRONGS	Extended Strong Numbers
#	WORD	Hebrew form	based on BDB, then normalised
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Part of speech / grammer
#	DEF		Definitions are based on the Abridged BDB by Online Bible, and edited to conform with the extended Strongs.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
863H		אִתַּי	it.tay	Ittai	N:N-M-P	A man living at the time of United Monarchy, first mentioned at 2Sa.23.29; son of: Ribai (<a href='/Strongs/strongs-h7380' onclick='return ABMM("/Strongs","/strongs-h7380");'>h7380</a>); also called Ithai at 1Ch.11.31; § Ittai or Ithai = "with me" 1) a Gittite commander from Gath in David's army 2) one of David's 30 mighty warriors, a Benjamite
864		אֵתָם	e.tam	Etham	N:N--L	§ Etham = "with them: their plowshare" a stopping place for Israel during the Exodus
865		אֶתְמוֹל	et.mol	previously	H:Adv	1) yesterday, recently, formerly 1a) yesterday 1b) formerly (fig.) 1c) from yesterday, already (in phrase) 2) (TWOT +) before, before that time, before the time, heretofore, of late, of old, these days, time(s) past
866		אֶתְנָה	et.nah	wages	H:N-F	1) hire, price (of a harlot) 2) (TWOT) reward
867	a Name of <a href='/Strongs/strongs-h2979' onclick='return ABMM("/Strongs","/strongs-h2979");'>h2979</a>	אֶתְנִי	et.ni	Ethni	N:N-M-P	A man of the tribe of Levi living at the time of Divided Monarchy, first mentioned at 1Ch.6.21; son of: Zerah (<a href='/Strongs/strongs-h2226J' onclick='return ABMM("/Strongs","/strongs-h2226J");'>h2226J</a>); father of: Malchijah (<a href='/Strongs/strongs-h4441' onclick='return ABMM("/Strongs","/strongs-h4441");'>h4441</a>); also called Ethni at 1Ch.6.41; Another name of <i>ye.a.te.ray</i> (יְאָֽתְרַי "Jeatherai" <a href='/Strongs/strongs-h2979' onclick='return ABMM("/Strongs","/strongs-h2979");'>h2979</a>) § Ethni = "my hire" an ancestor of Asaph
868		אֶתְנַן	et.nan	wages	H:N-M	 hire of prostitute, price 1a) hire (of harlot) 1b) of idolatrous Israel, Jerusalem, Tyre (fig.)
869		אֶתְנַן	et.nan	Ethnan	N:N-M-P	A man of the tribe of Judah living at the time of Divided Monarchy, only mentioned at 1Ch.4.7; son of: Ashhur (<a href='/Strongs/strongs-h806' onclick='return ABMM("/Strongs","/strongs-h806");'>h806</a>) and Helah (<a href='/Strongs/strongs-h2458' onclick='return ABMM("/Strongs","/strongs-h2458");'>h2458</a>); brother of: Haahashtari (<a href='/Strongs/strongs-h326' onclick='return ABMM("/Strongs","/strongs-h326");'>h326</a>), Zereth (<a href='/Strongs/strongs-h6889' onclick='return ABMM("/Strongs","/strongs-h6889");'>h6889</a>), Izhar (<a href='/Strongs/strongs-h3328' onclick='return ABMM("/Strongs","/strongs-h3328");'>h3328</a>) and Koz (<a href='/Strongs/strongs-h6976' onclick='return ABMM("/Strongs","/strongs-h6976");'>h6976</a>); half-brother of: Ahuzzam (<a href='/Strongs/strongs-h275' onclick='return ABMM("/Strongs","/strongs-h275");'>h275</a>), Hepher (<a href='/Strongs/strongs-h2660' onclick='return ABMM("/Strongs","/strongs-h2660");'>h2660</a>) and Temeni (<a href='/Strongs/strongs-h8488' onclick='return ABMM("/Strongs","/strongs-h8488");'>h8488</a>) § Ethnan = "hire of unchastity" a grandson of Ashur
870		אֲתַר	a.tar	place	A:N-M	track, place
871		אֲתָרִים	a.ta.rim	Atharim	N:N--L	This name means perhaps mountain pass or caravan route
872		בִּאָה	be.ah	entrance	H:N-F	 entrance, a coming in, entering, entry (of the temple) 1a) entrance 1b) entering (act of entrance)
873	in Aramaic of <a href='/Strongs/strongs-h887' onclick='return ABMM("/Strongs","/strongs-h887");'>h887</a>	בִּאישׁ	bi.ush	bad	A:N-F	evil, bad, be evil Aramaic of <i>ba.ash</i> (בָּאַשׁ "to stink" <a href='/Strongs/strongs-h887' onclick='return ABMM("/Strongs","/strongs-h887");'>h887</a>)
874		בָּאַר	ba.ar	to make plain	H:V	 (Piel) 1a) to make plain, distinct 1b) to make clear 1c) to declare 1d) letters on a tablet
875		בְּאֵר	be.er	well	H:N-F	well, pit, spring
876G		בְּאֵר	be.er	Beer	N:N--L	§ Beer = "well" an oasis rest in desert during the Exodus
876H	a Name of <a href='/Strongs/strongs-h881G' onclick='return ABMM("/Strongs","/strongs-h881G");'>h881G</a>	בְּאֵר	be.er	Beer	N:N--L	Beer = "well" a city west of Hebron Another name of <i>be.e.rot</i> (בְּאֵרוֹת "Beeroth" <a href='/Strongs/strongs-h881G' onclick='return ABMM("/Strongs","/strongs-h881G");'>h881G</a>)
877		בֹּאר	bor	cistern	H:N-M	cistern, pit, well
878		בְּאֵרָא	be.e.ra	Beera	N:N-M-P	A man of the tribe of Asher living at the time of Divided Monarchy, only mentioned at 1Ch.7.37; son of: Zophah (<a href='/Strongs/strongs-h6690' onclick='return ABMM("/Strongs","/strongs-h6690");'>h6690</a>); brother of: Suah (<a href='/Strongs/strongs-h5477' onclick='return ABMM("/Strongs","/strongs-h5477");'>h5477</a>), Harnepher (<a href='/Strongs/strongs-h2774' onclick='return ABMM("/Strongs","/strongs-h2774");'>h2774</a>), Shual (<a href='/Strongs/strongs-h7777B' onclick='return ABMM("/Strongs","/strongs-h7777B");'>h7777B</a>), Beri (<a href='/Strongs/strongs-h1275' onclick='return ABMM("/Strongs","/strongs-h1275");'>h1275</a>), Imrah (<a href='/Strongs/strongs-h3236' onclick='return ABMM("/Strongs","/strongs-h3236");'>h3236</a>), Bezer (<a href='/Strongs/strongs-h1221H' onclick='return ABMM("/Strongs","/strongs-h1221H");'>h1221H</a>), Hod (<a href='/Strongs/strongs-h1936' onclick='return ABMM("/Strongs","/strongs-h1936");'>h1936</a>), Shamma (<a href='/Strongs/strongs-h8037H' onclick='return ABMM("/Strongs","/strongs-h8037H");'>h8037H</a>), Shilshah (<a href='/Strongs/strongs-h8030' onclick='return ABMM("/Strongs","/strongs-h8030");'>h8030</a>) and Ithran (<a href='/Strongs/strongs-h3506H' onclick='return ABMM("/Strongs","/strongs-h3506H");'>h3506H</a>) § Beera = "a well" a man of Asher
879		בְּאֵר אֵילִים	be.er e.lim	Beer-elim	N:N--L	§ Beer-elim = "well of God" a well in the south of Moab
880		בְּאֵרָה	be.e.rah	Beerah	N:N-M-P	A man of the tribe of Reuben living at the time of Divided Monarchy, only mentioned at 1Ch.5.6; son of: Baal (<a href='/Strongs/strongs-h1168' onclick='return ABMM("/Strongs","/strongs-h1168");'>h1168</a>) § Beerah = "well" a Reubenite chief exiled to Assyria
881G		בְּאֵרוֹת	be.e.rot	Beeroth	N:N--L	§ Beeroth = "wells" a Gibeonite city allotted to Benjamin
881H	a Part of <a href='/Strongs/strongs-h1142G' onclick='return ABMM("/Strongs","/strongs-h1142G");'>h1142G</a>	בְּאֵרוֹת	be.e.rot	Beeroth-(bene-jaakan)	N:N--L	Beeroth = "wells" a Gibeonite city allotted to Benjamin Combined with <i>be.ne ya.a.qan</i> (בְּנֵי יַעֲקָ֑ן "Bene-jaakan" <a href='/Strongs/strongs-h1142' onclick='return ABMM("/Strongs","/strongs-h1142");'>h1142</a>)
882G		בְּאֵרִי	be.e.ri	Beeri	N:N-M-P	A man living at the time of the Patriarchs, only mentioned at Gen.26.34; married to Anah (<a href='/Strongs/strongs-h6034' onclick='return ABMM("/Strongs","/strongs-h6034");'>h6034</a>); father of: Judith (<a href='/Strongs/strongs-h3067' onclick='return ABMM("/Strongs","/strongs-h3067");'>h3067</a>) § Beeri = "my well" 1) Esau's Hittite father-in-law 2) father of Hosea
882H		בְּאֵרִי	be.e.ri	Beeri	N:N-M-P	A man living at the time of Divided Monarchy, only mentioned at Hos.1.1; father of: Hosea (<a href='/Strongs/strongs-h1954J' onclick='return ABMM("/Strongs","/strongs-h1954J");'>h1954J</a>) § Beeri = "my well" 1) Esau's Hittite father-in-law 2) father of Hosea
883		בְּאֵר לַחַי רֹאִי	be.er la.chay ro.i	Beer-lahai-roi	N:N--L	§ Beer-lahai-roi = "well of the Living One seeing me" a well west of Kadesh, south of Israel
884		בְּאֵר שֶׁ֫בַע	be.er she.va	Beersheba	N:N--L	§ Beer-sheba = "well of the sevenfold oath" a city at the south edge of Israel
885	combination of <a href='/Strongs/strongs-h1142G' onclick='return ABMM("/Strongs","/strongs-h1142G");'>h1142G</a>	בְּאֵרֹת בְּנֵי־יַעֲקָן	be.e.rot be.ne-ya.a.qan	Beeroth-bene-jaakan	N:N--L	Beeroth Bene-Jaakan or Beeroth = "wells" or "wells of the sons of Jaakan" an encampment for Israel in the wilderness probably in the country of the Horites
886	a group of <a href='/Strongs/strongs-h881G' onclick='return ABMM("/Strongs","/strongs-h881G");'>h881G</a>	בְּאֵרֹתִי	be.e.ro.ti	Beerothite	N:N--LG	Group of <i>be.e.rot</i> (בְּאֵרוֹת "Beeroth" <a href='/Strongs/strongs-h881' onclick='return ABMM("/Strongs","/strongs-h881");'>h881</a>) § Beerothite = "wells" an inhabitant of Beeroth (in Benjamin)
887		בָּאַשׁ	ba.ash	to stink	H:V	1) to have a bad smell, stink, smell bad 1a) (Qal) to stink, smell bad 1b) (Niphal) 1b1) to become odious 1b2) to make oneself odious 1c) (Hiphil) 1c1) to stink, emit a stinking odour 1c2) to cause to stink 1c3) of wickedness (fig.) 1d) (Hithpael) to make oneself odious 2) (TWOT) to abhor
888	in Aramaic of <a href='/Strongs/strongs-h887' onclick='return ABMM("/Strongs","/strongs-h887");'>h887</a>	בְּאֵשׁ	be.esh	be displeased	A:V	(P'al) to be evil, be bad, be displeasing Aramaic of <i>ba.ash</i> (בָּאַשׁ "to stink" <a href='/Strongs/strongs-h887' onclick='return ABMM("/Strongs","/strongs-h887");'>h887</a>)
889		בְּאֹשׁ	be.osh	stench	H:N-M	stench, foul odour
890		בׇּאְשָׁה	bo.shah	foul weed	H:N-F	stinking things, stinking or noxious weeds, stinkweed
891		בְּאֻשִׁים	be.u.shim	sour grapes	H:N-M	stinking or worthless things, wild grapes, stinkberries
892		בָּבָה	ba.vah	apple	H:N-F	the apple (pupil) of the eye
893G		בֵּבַי	be.vay	Bebai	N:N-M-P	A man living at the time of Exile and Return, first mentioned at Ezr.2.11 § Bebai = "my cavities" a leader of the returning exiles
893H		בֵּבַי	be.vay	Bebai	N:N-M-P	A man living at the time of Exile and Return, first mentioned at Ezr.8.11b; father of: Zechariah (<a href='/Strongs/strongs-h2148R' onclick='return ABMM("/Strongs","/strongs-h2148R");'>h2148R</a>) § Bebai = "my cavities" a leader of the returning exiles
893I		בֵּבַי	be.vay	Bebai	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Neh.10.15 § Bebai = "my cavities" a leader of the returning exiles
894		בָּבֶ֫ל, בָּבֶל	ba.vel	Babylon	N:N--L	§ Babel or Babylon = "confusion (by mixing)" Babel or Babylon, the ancient site and/or capital of Babylonia (modern Hillah) situated on the Euphrates
895	in Aramaic of <a href='/Strongs/strongs-h894' onclick='return ABMM("/Strongs","/strongs-h894");'>h894</a>	בָּבֶ֫ל, בָּבֶל	ba.vel	Babylon	N:N--L	Aramaic of <i>ba.vel</i> (בָּבֶ֫ל, בָּבֶל "Babylon" <a href='/Strongs/strongs-h894' onclick='return ABMM("/Strongs","/strongs-h894");'>h894</a>) § Babel or Babylon = "confusion (by mixing)" Babel or Babylon, the ancient site and/or capital of Babylonia (modern Hillah) situated on the Euphrates
896	a group of <a href='/Strongs/strongs-h894' onclick='return ABMM("/Strongs","/strongs-h894");'>h894</a>	בָּֽבְלַי	bav.li	Babylonian	N:N--LG	Group of <i>ba.vel</i> (בָּבֶ֫ל, בָּבֶל "Babylon" <a href='/Strongs/strongs-h894' onclick='return ABMM("/Strongs","/strongs-h894");'>h894</a>) § Babylonian = "confusion (by mixing)" Babylonian
897	a Spelling of <a href='/Strongs/strongs-h957' onclick='return ABMM("/Strongs","/strongs-h957");'>h957</a>	בַּג	bag	spoil	H:N-M	spoil, booty Another spelling of <i>baz</i> (בַּז "plunder" <a href='/Strongs/strongs-h957' onclick='return ABMM("/Strongs","/strongs-h957");'>h957</a>)
898		בָּגַד	ba.gad	to act treacherously	H:V	 to act treacherously, deceitfully, deal treacherously 1a) (Qal) to act or deal treacherously, faithlessly, deceitfully, offend
899A		בֶּ֫גֶד	be.ged	treachery	H:N-M	treachery, deceit
899B		בֶּ֫גֶד	be.ged	garment	H:N-M	(CLBL) garment, clothing (used indiscriminately)
900		בֹּגְדוֹת	bo.ge.dot	treachery	H:N-F	treacherous, treacherousness, men of treacherous behaviour
901		בָּגוֹד	ba.god	treacherous	H:A	treacherous, deceitful
902G		בִּגְוַי	big.vay	Bigvai	N:N-M-P	A man living at the time of Exile and Return, first mentioned at Ezr.2.2 § Bigvai = "in my bodies" an exile who returned under Zerubbabel, perhaps the head of a family
902H		בִּגְוַי	big.vay	Bigvai	N:N-M-P	A man living at the time of Exile and Return, first mentioned at Ezr.2.14 § Bigvai = "in my bodies" an exile who returned under Zerubbabel, perhaps the head of a family
902I		בִּגְוַי	big.vay	Bigvai	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Neh.10.16 § Bigvai = "in my bodies" an exile who returned under Zerubbabel, perhaps the head of a family
903		בִּגְתָא	big.ta	Bigtha	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Est.1.10 § Bigtha = "in the wine-press" a eunuch in king Ahasuerus' (Xerxes) court
904		בִּגְתָן	big.tan	Bigthan	N:N-M-P	A man living at the time of Exile and Return, first mentioned at Est.2.21; also called Bigthana at Est.6.2; § Bigthan = "in their wine-press" a eunuch in king Ahasuerus' (Xerxes) court
905G		בַּד	bad	alone: pole	H:N-M	pole alone, by itself, besides, a part, separation, being alone 1a) separation, alone, by itself 1a1) only (adv) 1a2) apart from, besides (prep) 1b) part 1c) parts (eg limbs, shoots), bars
905H	a Meaning of <a href='/Strongs/strongs-h905G' onclick='return ABMM("/Strongs","/strongs-h905G");'>h905G</a>	בַּד	bad	alone	H:N-M	alone alone, by itself, besides, a part, separation, being alone 1a) separation, alone, by itself 1a1) only (adv) 1a2) apart from, besides (prep) 1b) part 1c) parts (eg limbs, shoots), bars
905I	a Meaning of <a href='/Strongs/strongs-h905G' onclick='return ABMM("/Strongs","/strongs-h905G");'>h905G</a>	בַּד	bad	alone: each	H:N-M	each alone, by itself, besides, a part, separation, being alone 1a) separation, alone, by itself 1a1) only (adv) 1a2) apart from, besides (prep) 1b) part 1c) parts (eg limbs, shoots), bars
905J	a Meaning of <a href='/Strongs/strongs-h905G' onclick='return ABMM("/Strongs","/strongs-h905G");'>h905G</a>	בַּד	bad	alone: besides	H:N-M	besides/apart from alone, by itself, besides, a part, separation, being alone 1a) separation, alone, by itself 1a1) only (adv) 1a2) apart from, besides (prep) 1b) part 1c) parts (eg limbs, shoots), bars
906		בַּד	bad	linen	H:N-M	linen, white linen
907		בַּד	bad	bluster	H:N-M	empty talk, idle talk, liar, lie
908		בָּדָא	ba.da	to devise	H:V	 to devise, contrive, invent (bad sense) 1a) (Qal) 1a1) to devise 1a2) to contrive
909		בָּדַד	ba.dad	be alone	H:V	1) to withdraw, be separate, be isolated 1a) (Qal) an army straggler (part.) 1a1) of Ephraim (metaph.) 2) (TWOT) alone
910		בָּדָד	ba.dad	isolation	H:N-M	1) isolation, withdrawal, separation 1a) an isolated city adv 2) alone 2a) security (fig.)
911		בְּדַד	be.dad	Bedad	N:N-M-P	A man living at the time of the Patriarchs, first mentioned at Gen.36.35; father of: Hadad (<a href='/Strongs/strongs-h1908' onclick='return ABMM("/Strongs","/strongs-h1908");'>h1908</a>) § Bedad = "solitary" the father of an Edomite chief
912		בֵּֽדְיָה	be.de.yah	Bedeiah	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Ezr.10.35 § Bedeiah = "servant of Jehovah" an Israelite exile who took a foreign woman
913		בְּדִיל	be.dil	tin	H:N-M	 alloy, tin, dross 1a) of Israel (metaph.)
914		בָּדַל	ba.dal	to separate	H:V	 to divide, separate 1a) (Hiphil) 1a1) to divide, separate, sever 1a2) to separate, set apart 1a3) to make a distinction, difference 1a4) to divide into parts 1b) (Niphal) 1b1) to separate oneself from (reflexive of 1a2) 1b2) to withdraw from 1b3) to separate oneself unto 1b4) to be separated 1b5) to be excluded 1b6) to be set apart
915		בָּדָל	ba.dal	piece	H:N-M	a piece, severed piece, a piece (of an ear)
916		בְּדֹ֫לַח	be.do.lach	bdellium	H:N-M	bdellium (ie gum resin)
917G		בְּדָן	be.dan	Bedan	N:N-M-P	A man of the tribe of Manasseh living at the time of Divided Monarchy, only mentioned at 1Ch.7.17; son of: Ulam (<a href='/Strongs/strongs-h198' onclick='return ABMM("/Strongs","/strongs-h198");'>h198</a>) § Bedan = "in judging" 1) a judge who followed Gideon 2) a Manassite
917H	a Spelling of <a href='/Strongs/strongs-h1301' onclick='return ABMM("/Strongs","/strongs-h1301");'>h1301</a>	בְּדָן	be.dan	Barak	N:N-M-P	A Judge living before Israel's Monarchy, first mentioned at Jdg.4.6; son of: Abinoam (<a href='/Strongs/strongs-h42' onclick='return ABMM("/Strongs","/strongs-h42");'>h42</a>) Another spelling of <i>ba.raq</i> (בָּרָק "Barak" <a href='/Strongs/strongs-h1301' onclick='return ABMM("/Strongs","/strongs-h1301");'>h1301</a>) § Bedan = "in judging" 1) a judge who followed Gideon 2) a Manassite
918		בָּדַק	ba.daq	to repair	H:V	(Qal) to mend, repair (a building)
919		בֶּ֫דֶק	be.deq	breach	H:N-M	fissure, rent, breach, leak (in a building)
920		בִּדְקַר	bid.qar	Bidkar	N:N-M-P	A man living at the time of Divided Monarchy, only mentioned at 2Ki.9.25 § Bidkar = "with a stab" a captain of Jehu
921	in Aramaic of <a href='/Strongs/strongs-h6504' onclick='return ABMM("/Strongs","/strongs-h6504");'>h6504</a>	בְּדַר	be.dar	to scatter	A:V	(Pael) to scatter Aramaic of <i>pa.rad</i> (פָּרַד "to separate" <a href='/Strongs/strongs-h6504' onclick='return ABMM("/Strongs","/strongs-h6504");'>h6504</a>)
922		בֹּהוּ	bo.hu	void	H:N-M	emptiness, void, waste
923		בַּ֫הַט	ba.hat	porphyry	H:N-M	a costly stone (perhaps porphyry), red marble
924	in Aramaic of <a href='/Strongs/strongs-h926' onclick='return ABMM("/Strongs","/strongs-h926");'>h926</a>	בְּהִילוּ	be.hi.lu	hastely	A:Adv	haste, hastily Aramaic of <i>ba.hal</i> (בָּהַל "to dismay" <a href='/Strongs/strongs-h926' onclick='return ABMM("/Strongs","/strongs-h926");'>h926</a>)
925		בָּהִיר	ba.hir	bright	H:A	bright, brilliant (of light)
926		בָּהַל	ba.hal	to dismay	H:V	 to disturb, alarm, terrify, hurry, be disturbed, be anxious, be afraid, be hurried, be nervous 1a) (Niphal) 1a1) to be disturbed, dismayed, terrified, anxious 1a2) to be in haste, be hasty 1b) (Piel) 1b1) to make haste, act hastily, be hurried, be hastened 1b2) to dismay, terrify 1c) (Pual) 1c1) to hasten 1c2) hastened, hastily gained (part.) 1d) (Hiphil) 1d1) to hasten, hurry, make haste 1d2) to dismay, terrify
927	in Aramaic of <a href='/Strongs/strongs-h926' onclick='return ABMM("/Strongs","/strongs-h926");'>h926</a>	בְּהַל	be.hal	to dismay	A:V	1) (Pual) to frighten, alarm, dismay 2) (Ithpa'al) to hurry, hasten 3) (Ithpa'al) alarmed (part.)
928		בֶּֽהָלָה	be.ha.lah	dismay	H:N-F	dismay, sudden terror or ruin, alarm
929		בְּהֵמָה	be.he.mah	animal	H:N-F	 beast, cattle, animal 1a) beasts (coll of all animals) 1b) cattle, livestock (of domestic animals) 1c) wild beasts
930		בְּהֵמוֹת	be.he.mot	Behemoth	H:N-M	Behemoth This name means perhaps an extinct dinosaur 1a) a Diplodocus or Brachiosaurus, exact meaning unknown 1b) hippopotamus 1c) a mythical or proverbial creature
931		בֹּ֫הֶן	bo.hen	thumb/big toe	H:N-F	thumb, great (big) toe (always used of both together)
932		בֹּ֫הַן	bo.han	Bohan	N:N-M-P	A man living before Israel's Monarchy, first mentioned at Jos.15.6 § Bohan = "thumb" 1) a Reubenite who set a boundary stone between Judah and Benjamin 2) (BDB) a mark of division between Judah and Benjamin
933		בֹּ֫הַק	bo.haq	spot	H:N-M	a harmless eruption of the skin, skin spot
934		בַּהֶ֫רֶת	bo.he.ret	bright spot	H:N-F	1) white patch of skin, brightness, bright spot (on skin) 2) (CLBL) bright spot, scar, blister, boil 2a) resulting from fire 2b) resulting from inflammation of the skin 2c) possible sign of leprosy
935G		בּוֹא	bo	to come (in): come	H:V	come/go_in to go in, enter, come, go, come in 1a) (Qal) 1a1) to enter, come in 1a2) to come 1a2a) to come with 1a2b) to come upon, fall or light upon, attack (enemy) 1a2c) to come to pass 1a3) to attain to 1a4) to be enumerated 1a5) to go 1b) (Hiphil) 1b1) to lead in 1b2) to carry in 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon 1b4) to bring to pass 1c) (Hophal) 1c1) to be brought, brought in 1c2) to be introduced, be put
935H	a Part of <a href='/Strongs/strongs-h2574G' onclick='return ABMM("/Strongs","/strongs-h2574G");'>h2574G</a>	לְב֥וֹא	bo	Lebo-(Hamath)	H:V	This name means to go in, enter Combined with <i>cha.mat</i> (חֲמָת "Hamath" <a href='/Strongs/strongs-h2574' onclick='return ABMM("/Strongs","/strongs-h2574");'>h2574</a>)
935I	a Meaning of <a href='/Strongs/strongs-h935G' onclick='return ABMM("/Strongs","/strongs-h935G");'>h935G</a>	בּוֹא	bo	to come (in): towards	H:V	towards/entrance to go in, enter, come, go, come in 1a) (Qal) 1a1) to enter, come in 1a2) to come 1a2a) to come with 1a2b) to come upon, fall or light upon, attack (enemy) 1a2c) to come to pass 1a3) to attain to 1a4) to be enumerated 1a5) to go 1b) (Hiphil) 1b1) to lead in 1b2) to carry in 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon 1b4) to bring to pass 1c) (Hophal) 1c1) to be brought, brought in 1c2) to be introduced, be put
935J	a Meaning of <a href='/Strongs/strongs-h935G' onclick='return ABMM("/Strongs","/strongs-h935G");'>h935G</a>	בּוֹא	bo	to come (in): advanced	H:V	advanced/old to go in, enter, come, go, come in 1a) (Qal) 1a1) to enter, come in 1a2) to come 1a2a) to come with 1a2b) to come upon, fall or light upon, attack (enemy) 1a2c) to come to pass 1a3) to attain to 1a4) to be enumerated 1a5) to go 1b) (Hiphil) 1b1) to lead in 1b2) to carry in 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon 1b4) to bring to pass 1c) (Hophal) 1c1) to be brought, brought in 1c2) to be introduced, be put
935K	a Meaning of <a href='/Strongs/strongs-h935G' onclick='return ABMM("/Strongs","/strongs-h935G");'>h935G</a>	בּוֹא	bo	to come (in): (sun)set	H:V	(sun)set to go in, enter, come, go, come in 1a) (Qal) 1a1) to enter, come in 1a2) to come 1a2a) to come with 1a2b) to come upon, fall or light upon, attack (enemy) 1a2c) to come to pass 1a3) to attain to 1a4) to be enumerated 1a5) to go 1b) (Hiphil) 1b1) to lead in 1b2) to carry in 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon 1b4) to bring to pass 1c) (Hophal) 1c1) to be brought, brought in 1c2) to be introduced, be put
935L	a Meaning of <a href='/Strongs/strongs-h935G' onclick='return ABMM("/Strongs","/strongs-h935G");'>h935G</a>	בּוֹא	bo	to come (in): marry	H:V	marry/lie_with to go in, enter, come, go, come in 1a) (Qal) 1a1) to enter, come in 1a2) to come 1a2a) to come with 1a2b) to come upon, fall or light upon, attack (enemy) 1a2c) to come to pass 1a3) to attain to 1a4) to be enumerated 1a5) to go 1b) (Hiphil) 1b1) to lead in 1b2) to carry in 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon 1b4) to bring to pass 1c) (Hophal) 1c1) to be brought, brought in 1c2) to be introduced, be put
935M	a Meaning of <a href='/Strongs/strongs-h935G' onclick='return ABMM("/Strongs","/strongs-h935G");'>h935G</a>	בּוֹא	bo	to come (in): fulfill	H:V	fulfill/grant to go in, enter, come, go, come in 1a) (Qal) 1a1) to enter, come in 1a2) to come 1a2a) to come with 1a2b) to come upon, fall or light upon, attack (enemy) 1a2c) to come to pass 1a3) to attain to 1a4) to be enumerated 1a5) to go 1b) (Hiphil) 1b1) to lead in 1b2) to carry in 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon 1b4) to bring to pass 1c) (Hophal) 1c1) to be brought, brought in 1c2) to be introduced, be put
935N	a Meaning of <a href='/Strongs/strongs-h935G' onclick='return ABMM("/Strongs","/strongs-h935G");'>h935G</a>	בּוֹא	bo	to come (in): besiege	H:V	come_under(siege) to go in, enter, come, go, come in 1a) (Qal) 1a1) to enter, come in 1a2) to come 1a2a) to come with 1a2b) to come upon, fall or light upon, attack (enemy) 1a2c) to come to pass 1a3) to attain to 1a4) to be enumerated 1a5) to go 1b) (Hiphil) 1b1) to lead in 1b2) to carry in 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon 1b4) to bring to pass 1c) (Hophal) 1c1) to be brought, brought in 1c2) to be introduced, be put
935O	a Name of <a href='/Strongs/strongs-h2574G' onclick='return ABMM("/Strongs","/strongs-h2574G");'>h2574G</a>	לְב֥וֹא	bo	Lebo	H:V	A shortened name of Lebo Hamath complined with<i>cha.mat</i> (חֲמָת "Hamath" <a href='/Strongs/strongs-h2574' onclick='return ABMM("/Strongs","/strongs-h2574");'>h2574</a>) This name means to go in, enter
935P	a Meaning of <a href='/Strongs/strongs-h935G' onclick='return ABMM("/Strongs","/strongs-h935G");'>h935G</a>	בּוֹא	bo	to come (in): bring	H:V	bring/take_in to go in, enter, come, go, come in 1a) (Qal) 1a1) to enter, come in 1a2) to come 1a2a) to come with 1a2b) to come upon, fall or light upon, attack (enemy) 1a2c) to come to pass 1a3) to attain to 1a4) to be enumerated 1a5) to go 1b) (Hiphil) 1b1) to lead in 1b2) to carry in 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon 1b4) to bring to pass 1c) (Hophal) 1c1) to be brought, brought in 1c2) to be introduced, be put
936		בּוּז	buz	to despise	H:V	 to despise, hold in contempt, hold as insignificant 1a) (Qal) to despise, show despite toward
937		בּוּז	buz	contempt	H:N-M	 contempt 1a) springing from evil 1b) springing from prosperity 1c) springing from judgment
