# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 3873620     
# File Date: 06/01/2026 18:32:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS	Strong's number with extensions
#	WORD	Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#	STRONGU	Unified Strong's entry and explanation
#	DEF		Definition, lexical entry.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
2832	a Spelling of <a href='/Strongs/strongs-g2810' onclick='return ABMM("/Strongs","/strongs-g2810");'>g2810</a>	Κλωπᾶς	Klōpas	Clopas	N:N-M-P	<b>Κλωπᾶς</b>, -ᾶ, ὁ (Aram; on the original, see Lft, <i>Gal.</i>, 267 f.), <b>Clopas</b>: Jhn.19:25. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2833		κνήθω	knēthō	to itch	G:V	<b>κνήθω</b> (late form of κνάω), 1) to scratch. 2) <b>to tickle</b>; pass, <b>to itch</b>: 2Ti.4:3. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2834		Κνίδος	Knidos	Cnidus	N:N-F-L	<b>Κνίδος</b>, -ου, ἡ Cnidus, a city (and peninsula) on S.W. coast of Asia Minor: Act.27:7. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2835		κοδράντης	kodrantēs	penny	G:N-M	<b>κοδράντης</b>, -ου, ὁ (Lat. quadrans, the fourth part of an as), <b>a quadrans </b>(AV, farthing): Mat.5:26, Mrk.12:42. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2836		κοιλία	koilia	belly/womb/stomach	G:N-F	<b>κοιλία</b>, -ας, ἡ (κοῖλος, hollow), [in LXX chiefly for בֶּטֶן, מֵעֶה, קֶרֶב, Deu.7:13, 2Ki.7:12, Gen.41:21, al; also (Job.3:11 10:18 31:15 38:8) for רֶחֶם;] 1) <b>the belly </b>(stomach or intestines or both): Mat.12:40 15:17, Mrk.7:19, Luk.15:16, Rom.16:18, 1Co.6:13, Php.3:19, Rev.10:9-10. 2) (As often in LXX) the womb: Luk.1:41-42, 44 2:21 11:27 23:29, Jhn.3:4; ἐκ κ. μητρός (cf. Psa.22:11, Job.1:21, al.), Mat.19:12, Luk.1:15, Act.3:2 14:8, Gal.1:15. 3) Metaphorical (as <i>Heb.</i> בֶּטֶן, cf. Job.15:35, Pro.20:27, Sir.19:12), of the heart: Jhn.7:38. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2837		κοιμάω	koimaō	to sleep	G:V	<b>κοιμάω</b>, -ῶ [in LXX chiefly for שָׁכַב;] to lull to sleep, put to sleep. Mid and pass, <b>to fall asleep </b>(M, <i>Pr.</i>, 162; M, <i>Th.</i>, 1, 4, 13): Mat.28:13, Luk.22:45, Jhn.11:12, Act.12:6. Metaph, of death: Mat.27:52, Jhn.11:11 Act.7:60 13:36, 1Co.7:39 11:30 15:6 15:18 15:20 15:51, 1Th.4:13-15, 2Pe.3:4 (cf. Isa.14:8 43:17, 2Ma.12:45). <i>SYN.</i>: καθεύδω (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2838		κοίμησις	koimēsis	sleep	G:N-F	<b>κοίμησις</b>, -εως, ἡ [in LXX: Sir.46:19 48:13 *;] <b>a reclining, resting</b>: Jhn.11:13. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2839G		κοινός	koinos	common: unsanctified	G:A	<b>κοινός</b>, -ή, -όν [in LXX: Pro.1:14 (אֶחָד) Pro.21:9 25:24 (חֶבֶר), Wis.7:3, al;] 1) <b>common </b>(general; = Lat. communis): Act.2:44 4:32; κ. πίστις, Tit.1:4; σωτηρία, Ju 3 2) <b>common </b>(ordinary; = vulgaris); hence in LXX (1Ma.1:47, al.) and NT, <b>unhallowed, unclean </b>(cl, βέβηλος, which see): Mrk.7:2, 5, Act.10:14, 28 11:8, Rom.14:14, Heb.10:29, Rev.21:27. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2839H	a Meaning of <a href='/Strongs/strongs-g2839G' onclick='return ABMM("/Strongs","/strongs-g2839G");'>g2839G</a>	κοινός	koinos	common: shared	G:A	<b>κοινός</b>, -ή, -όν [in LXX: Pro.1:14 (אֶחָד) Pro.21:9 25:24 (חֶבֶר), Wis.7:3, al;] 1) <b>common </b>(general; = Lat. communis): Act.2:44 4:32; κ. πίστις, Tit.1:4; σωτηρία, Ju 3 2) <b>common </b>(ordinary; = vulgaris); hence in LXX (1Ma.1:47, al.) and NT, <b>unhallowed, unclean </b>(cl, βέβηλος, which see): Mrk.7:2, 5, Act.10:14, 28 11:8, Rom.14:14, Heb.10:29, Rev.21:27. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2840		κοινόω	koinoō	to profane	G:V	<b>κοινόω</b>, -ῶ [in LXX: 4Ma.7:6 א R*;] 1) in cl, to make common. 2) In LXX, l.with, and NT (as κοινός, 2), <b>to make ceremonially unclean, to profane </b>(= cl, βεληλόω): Mat.15:11, 18 15:20, Mrk.7:15, 18 7:20, 23, Act.21:28; pass, Heb.9:13. 3) <b>to count unclean </b>(cf. δικαιόω): Act.10:15 11:9. <i>SYN.</i>: βεβηλόω. Thayer (see word κ.) mentions that Winer <i>Notes</i> the accuracy whereby the Jews are said to use κ. in addressing Jews, Act.21:28, and β. when speaking to Felix, 24:6 (Cremer, 362) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2841		κοινωνέω	koinōneō	to participate	G:V	<b>κοινωνέω</b>, -ῶ [in LXX: 2Ch.20:35, Job.34:8, Ecc.9:4 (חָבַר), Pro.1:11, Wis.6:23, Sir.13:1, al;] to have a share of, go shares in (something) with (some one), <b>take part in</b>: with genitive of thing(s) (as usually in cl, so Pr, l.with), Heb.2:14; with dative of thing(s), Rom.12:13 15:27, 1Ti.5:22, 1Pe.4:13, 2Jn.11; with dative of person(s), before εἰς, Php.4:15; ἐν, Gal.6:6 (cf. συν-κοινωνέω). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2842		κοινωνία	koinōnia	participation	G:N-F	<b>κοινωνία</b>, -ας, ἡ (κοινωνός), [in LXX: Lev.6:2 (יָד תְּשׂוּמֶת), Wis.8:18, 3Ma.4:6 *;] 1) <b>fellowship, communion</b>: Act.2:42, 2Co.6:14, Php.1:5; τ. υἱοῦ, 1Co.1:9; τ. αἵματος, σώματος Χρ, 1Co.10:10: παθημάτων αὐτσῦ, Php.3:10; τ. πνεύματος, 2Co.13:13, Php.2:1; δεξιὰς κοινωνίας, Gal.2:9; τ. πίστεώς σου, Phm 6; before μετὰ: τ. πατρός, 1Jn.1:3 Jn 1:6; ἡμῶν, ἀλλήλων, 1Jn.1:3 Jn 1:7. 2) <b>contribution </b>(as outcome of fellowship): Rom.15:26, 2Co.8:4 9:13, Heb.13:6 (cf. Art. Communion, <i>DB</i>, i, 460 ff; MM, <i>Exp.</i>, xv). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2843		κοινωνικός	koinōnikos	generous	G:A	<b>κοινωνικός</b>, -ή, -όν (κοινωνία), 1) sociable. 2) <b>ready to com­municate or impart </b>(R, mg, ready to sympathize, see Field, <i>Notes</i>, 213 f.): 1Ti.6:18. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2844		κοινωνός	koinōnos	participant	G:N-M	<b>κοινωνός</b>, -ή, -όν (κοινός), [in LXX: Pro.28:24, Isa.1:23 (חָבֵר), Mal.2:14 (חֲבֶרֶת), Est.8:13, al;] 1) as adj, = κοινός. 2) As subst, ὁ, ἡ κ, (a) <b>a partner, associate, companion</b>: 2Co.8:23, Phm 17; with dative of person(s), Luk.5:10; with genitive of person(s), Heb.10:33; id. before ἐν, Mat.23:30; (b) <b>a partaker, sharer</b>: with genitive of thing(s), 1Co.10:18 10:20, 2Co.1:7, 1Pe.5:1, 2Pe.1:4 (see Deiss, BS, 368 n2). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2845		κοίτη	koitē	bed	G:N-F	<b>κοίτη</b>, -ης, ἡ (in Hom, κοῖτος) [in LXX chiefly for מִשְׁכָּב, also for שְׁכָבָה, etc;] <b>a bed</b>: Luk.11:7; esp. the marriage-bed: κ. ἀμίαντος, Heb.13:4; κ. ἔχειν, of a woman conceiving, Rom.9:10 (cf. peculiar phrases in LXX, Lev.15:18, al.); of illicit intercourse, pl, Rom.13:13. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2846		κοιτών	koitōn	bedroom/chamberlain	G:N-M	<b>κοιτών</b>, -ῶνος, ὁ (κοίτη = Att, δωμότιον, see Kennedy, <i>Sources</i>, 40), [in LXX chiefly for חֶדֶר, 2Ki.4:7, Jol.2:16; I Est.3:3, al;] <b>a bed-chamber</b>; ὁ ἐπὶ τοῦ κ, <b>a chamberlain</b>: Act.12:20. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2847		κόκκινος	kokkinos	scarlet	G:A	<b>κόκκινος</b>, -η, -ον (κόκκος, as used of the "berry" of the ilex coccifera, see <i>DB</i>, iv, 416), [in LXX for תּוֹלָע, תּוֹלָע, שָׁנִי, Exo.25:4, Gen.38:23, Isa.1:18, al;] <b>scarlet</b>: Mat.27:28, Heb.9:19, Rev.17:3; neut, without substantive, of clothing, Rev.17:4 18:12, 16, (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2848		κόκκος	kokkos	seed	G:N-M	<b>κόκκος</b>, -ου, ὁ [in LXX: La 4:5 B א R (תּוֹלָע), Sir.45:11 *;] <b>a grain</b>: Mat.13:31 17:20, Mrk.4:31, Luk.13:19 17:6, Jhn.12:24, 1Co.15:37. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2849		κολάζω	kolazō	to punish	G:V	<b>κολάζω</b> (κόλος, docked), [in LXX: Dan.6:12 (13) (no <i>Heb.</i>), I Est.8:24, Wis.3:4 (and freq.), 1Ma.7:7, al;] 1) to curtail, dock, prune. 2) to check, restrain. 3) <b>to chastise, correct, punish</b>: pass, 2Pe.2:9; mid, cause to be punished (3Ma.7:3): Act.4:21. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2850		κολακεία	kolakeia	flattery	G:N-F	<b>κολακία</b> (Rec. -εία), -ας, ἡ (κολακεύω, to flatter), <b>flattery</b>: 1Th.2:5 (see Lft, <i>Notes</i>, 23). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2851		κόλασις	kolasis	punishment	G:N-F	<b>κόλασις</b>, -εως, ἡ (κολάζω), [in LXX: Eze.14:3-7 18:30 44:12, (מִכְשׁוֹל) Eze.43:11, λαμβάνειν τὴν κ. (כָּלַם ni.); Wis.11:13 16:2, 24 19:4, Jer.18:20, 2-4 Mac.5 *;] <b>correction, penalty, punishment</b>: Mat.25:46, 1Jn.4:18. <i>SYN.</i>: τιμωρία, requital. Arist. distinguishes between κ. as that which, being disciplinary, has reference to the sufferer, and τ. as that which, being penal, has reference to the satisfaction of him who inflicts (see Thayer, see word κ, and cf. Tr, <i>Syn.</i>, § vii). But in late Gk. especially, the distinction is not always maintained (see reff. in Thayer) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2852		κολαφίζω	kolaphizō	to beat	G:V	<b>κολαφίζω</b> (κόλαφος = Att, κόνδυλοι, the knuckles, the closed fist) <b>to strike with the fist, to buffet</b>: Mat.26:67, Mrk.14:65, 2Co.12:7; pass, 1Co.4:11, 1Pe.2:20. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2853		κολλάω	kollaō	to join	G:V	<b>κολλάω</b>, -ῶ (κόλλα, glue), [in LXX chiefly for דָּבַק;] 1) to glue or cement together. 2) Generally, to unite, to join firmly. Pass, <b>to cleave to, join </b>(oneself to): with dative of person(s), Mat.19:5 (LXX), Luk.10:11 15:15, Act.5:13 (but see Field, <i>Notes</i>, 118) Act.9:26 10:28 (see Field, l.with) Act.17:34; τ. πόρνῃ, 1Co.6:16; τ. Κυρίῳ, 1Co.6:17; with dative of thing(s), ἅρματι, Act.8:29; τ. ἀγαθῴ, Rom.12:9; of sins joining together, ἄχρι τ. οὐρανοῦ, Rev.18:5, of dust, Luk.10:11 (cf. τροσ-κολλάω). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2854		κολλούριον	kollourion	eye salve	G:N-N	<b>κολλούριον</b> (TTr, κολλύ, the more usual form), -ου, τό (dimin. of κολλύρα = κόλλιξ, a coarse bread roll), [in LXX: 3Ki.12:24 hil B*;] 1) a small bread roll (LXX, ll. with). 2) (Usually in pl, LS, see word) an eye salve shaped like a roll: Rev.3:18. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2855		κολλυβιστής	kollubistēs	moneychanger	G:N-M	<b>κολλυβιστής</b>, -οῦ, ὁ (κόλλυβος, a small coin, a rate of exchange), <b>a money-changer</b>: Mat.21:12, Mrk.11:15, Jhn.2:15 (of. κερματιοτής). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2856		κολοβόω	koloboō	to shorten	G:V	<b>κολοβόω</b>, -ῶ (κολοβός, docked), [in LXX: 2Ki.4:12 (קָצַץ pi.) *;] to cut off, amputate (LXX), <b>hence, to curtail, shorten</b>: Mat.24:22, Mrk.13:20. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2857G		Κολοσσαί	Kolossai	Colossae	N:N-F-L	<b>Κολοσσαί</b> (so in cl; -ασσαί, Rec, LTr.), -ῶν, αἰ <b>Colossæ, a city on the Lycus in Phrygia</b>: Col.1:2. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2857H	a Spelling of <a href='/Strongs/strongs-g2857G' onclick='return ABMM("/Strongs","/strongs-g2857G");'>g2857G</a>	Κολασσαί	Kolassai	Colossae	N:N-F-L	<b>Κολοσσαί</b> (so in cl; -ασσαί, Rec, LTr.), -ῶν, αἰ <b>Colossæ, a city on the Lycus in Phrygia</b>: Col.1:2. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2858	a Group member of <a href='/Strongs/strongs-g2857G' onclick='return ABMM("/Strongs","/strongs-g2857G");'>g2857G</a>	Κολασσαεύς	Kolossaeus	Colossae	G:N-M	<b>Κολασσαεύς</b> (Rec. Κολοσ-), -έως, ὁ <b>a Colossian</b>: pl, Col, tit. (and subscr, Rec, Tr.). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2859		κόλπος	kolpos	bosom	G:N-M	<b>κόλπος</b>, -ου, ὁ [in LXX chiefly for חֵיק;] 1) prop, <b>the bosom</b>: Jhn.13:23; fig, of close association, ἐν (εἰς τὸν) τοῖς κ. Ἀβραάμ, Luk.16:22-23 (cf. 4Ma.13:16); ὁ ὢν εἰς τὸν κ. τ. πατρός, Jhn.1:18 2) The bosom or fold of a loose garment falling over a girdle, used as a pocket, hence figuratively, εἰς τὸν κ. Isa.65:6, Jer.32:18: Luk.6:38 3) <b>A bosom-like hollow, as a bay or gulf</b>: Act.27:39. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2860		κολυμβάω	kolumbaō	to swim	G:V	<b>κολυμβάω</b>, -ῶ [in AI: Isa.25:11 *;] <b>to dive, plunge into the sea</b>: Act.27:43 (cf. ἐκ-κολνμβάω). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2861		κολυμβήθρα	kolumbēthra	pool	G:N-F	<b>κολυμβήθρα</b>, -ας, ἡ (κολνμβάω), [in LXX for בְּרֵכָה, 4Ki.18:27, al;] <b>a swimming pool, pool</b>: Jhn.5:2, 4 5:7 9:7. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2862	a Name of <a href='/Strongs/strongs-g4514' onclick='return ABMM("/Strongs","/strongs-g4514");'>g4514</a>	κολωνία	kolōnia	Roman colony	G:N-F	<b>κολωνία </b> (Rec. -ώνια), -ας, ἡ (Lat. colonic), <b>a colony</b>: Act.16:12 (see Lft, Phi, 50 f.). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2863		κομάω	komaō	be long-haired	G:V	<b>κομάω</b>, -ῶ (κόμη), <b>to wear long hair</b>: 1Co.11:14-15. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2864		κόμη	komē	hair	G:N-F	<b>κόμη</b>, -ης, ἡ [in LXX: Num.6:5, Eze.44:20 (פֶּרַע), al;] <b>the hair</b>: 1Co.11:15. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2865		κομίζω	komizō	to bring/be repaid	G:V	<b>κομίζω </b> [in LXX for נָשָׂא, etc;] 1) to take care of. 2) to carry off safe. 3) to carry off as booty. 4) <b>to bear or carry</b>: Luk.7:37. Mid, to bear for oneself, hence, (a) <b>to receive</b>: Heb.10:36 11:13, 39, 1Pe.1:9 5:4, 2Pe.2:13; (b) <b>to receive back, recover </b>(in cl. so also act.): Mat.25:27, Heb.11:19; metaphorically, of requital, 2Co.5:10, Col.3:25; παρὰ Κυρίου, Eph.6:8 (cf. ἐκ, συν-κομίζω). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2866		κομψότερον	kompsoteron	better	G:A	<b>κομψός</b>, -ή, -όν (κομέω, to take care of), <b>well-dressed, elegant, fine</b>; compar. neut, κομψότερον ἔχειν (cf. κόμψως ἔχειν, Epict, and colloq. Eng, "to be doing finely"): Jhn.4:52. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2867		κονιάω	koniaō	to whitewash	G:V	<b>κονιάω</b>, -ῶ (κονία, dust, lime), [in LXX: Deu.27:2, 4 (שִׂיד), Pro.21:9 *;] <b>to plaster or whiten over</b>: of tombs, Mat.23:27; figuratively, of a hypocrite, Act.23:3. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2868		κονιορτός	koniortos	dust	G:N-M	<b>κονιορτός</b>, -οῦ, ὁ (κόνις or κονία, dust, ὄρνυμι, to stir up), [in LXX for אָבָק, etc;] in cl, dust stirred up (Exo.9:9, Isa.5:24); in NT, <b>simply dust</b>: Mat.10:14, Luk.9:5 10:11, Act.13:51 22:23. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2869		κοπάζω	kopazō	to abate	G:V	<b>κοπάζω</b> (κόπος), [in LXX: Gen.8:1, Est.2:1 7:10 (שָׁכַךְ), Rut.1:18, al. (חָדַל), חָדַל), Jon.1.11-12 (שָׁתַק), al;] <b>to grow weary</b>; of the wind (Hdt, Jh, l.with), <b>to abate, cease raging</b>: Mat.14:32, Mrk.4:39 6:51. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2870		κοπετός	kopetos	lamentation	G:N-M	<b>κοπετός</b>, -οῦ, ὁ (κόπτω, mid.), [in LXX chiefly for מִסְפֵּד;] = cl. κομμός, a beating of the head and breast, <b>lamentation</b>: before ἐπί with dative of person(s), Act.8:2. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2871		κοπή	kopē	slaughter	G:N-F	<b>κοπή</b>, -ῆς, ἡ (κόπτω), [in LXX: Gen.14:17, Jos.10:20 (נָכָה hi, מַכָּה), Deu.28:25 (נָגַף), Jdth.15:7 *;] 1) in cl, a stroke, a pounding (as in a mortar). 2) <b>In LXX, a smiting in battle</b>: Heb.7:1 (LXX). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2872		κοπιάω	kopiaō	to labor	G:V	<b>κοπιάω</b>, -ῶ (κόπος), [in LXX chiefly for יָגַע;] 1) (as in cl.) to grow weary: Mat.11:28, Jhn.4:6, Rev.2:3 (cf. Isa.40:31). 2) <b>Hence, in LXX and NT, to work with effort, to toil</b>: absol, Mat.6:23, Luk.5:5 12:27, Jhn.4:38, Act.20:35, 1Co.4:12, Eph.4:28, 2Ti.2:5; with accusative of thing(s), Jhn.4:38; frequently in Paul. Epp, of ministerial labour: 1Co.15:10 16:16; before ἐν, Rom.16:12, 1Th.5:12 (see M, <i>Th.</i>, in l), 1Ti.5:17; εἰς, Rom.16:6, Gal.4:11, Php.2:16, Col.1:29, 1Ti.4:10. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2873		κόπος	kopos	labor	G:N-M	<b>κόπος</b>, -ου, ὁ (κόπτω) [in LXX chiefly for עָמָל, also for אָוֶן, etc;] 1) a striking, beating (in Jer.45:3 = κοπετός) 2) <b>laborious toil, trouble</b>: Jhn.4:38, 1Co.3:8 15:58, 1Th.3:5; κ. τ. ἀγάπης, 1Th.1:3; ἔργα καὶ κ, Rev.2:2; κ. καὶ μόχθος, 2Co.11:27, 1Th.2:9, 2Th.3:8; pl, ἐν κ, 2Co.6:5 10:15 11:23; ἐκ τ. κ, Rev.14:13; κόπονς (-ον) παρέχειν (in cl. more frequently π. πράγματα, πονον), with dative of person(s), Mat.26:10, Mrk.14:6, Luk.11:7 18:5, Gal.6:17. <i>SYN.</i>: μόλθος, labour; πόνος (which see), toil, painful effort; in cl, "π. gives prominence to the effort (work as requiring force), κ. to the fatigue, μ. (chiefly poetic) to the hardship" (Thayer, see word κ.) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2874		κοπρία	kopria	manure	G:N-F	<b>κοπρία</b>, -ας, ἡ [in LXX chiefly for אַשְׁפֹּת;] a dung hill (1Ki.2:8, Psa.113:7 al.): Luk.14:35. κόπριον, -ου, τό, [in LXX (pl.): Jer.25:33 (דֹּמֶן), Sir.22:2, 1Ma.2:62 *;] <b>= κόπρος, dung</b>: pl, Luk.13:8 (WH, mg, κόφινον κοπρίων). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2875		κόπτω	koptō	to cut/mourn	G:V	<b>κόπτω </b> [in LXX for כָּרַת, סָפַד, נָכָה hi, etc;] 1) to strike, smite. 2) <b>to cut off</b>: with accusative of thing(s), before ἀπό, Mat.21:8; ἐκ, Mrk.11:8. Mid, <b>to beat one's breast with grief, to mourn, bewail</b>: Mat.11:17 24:30; with accusative of person(s), Luk.8:52 23:27; before ἐπί, with accusative, Rev.1:7 18:9 (cf. ἀνα, ἀπο, ἐκ, ἐν, κατα, προ, προσ-κόπτω). <i>SYN.</i>: θρηνέω, q.v (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2876		κόραξ	korax	raven	G:N-M	<b>κόραξ</b>, -ακος, ὁ [in LXX for עֹרֵב;] <b>a raven</b>: Luk.12:24. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2877		κοράσιον	korasion	girl	G:N-N	<b>κοράσιον</b>, -ου, τό (dimin. of κόρη), [in LXX chiefly for נַעֲרָה, Rut.2:8, al; in Joel 4:3, Zec.8:5 for יַלְדָּה;] a colloquial word which survives in M<i>Gr.</i> (Kennedy, Sourcs, e154), <b>girl, maiden</b>: Mat.9:24-25 14:11, Mrk.5:41-42 6:22, 28. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2878		κορβᾶν	korban	Corban	H:N	<b>κορβάν</b> (Rec, T, -βᾶν), indecl. (Heb. קׇרְבָּן), <b>an offering, a gift offered to God</b>: Mrk.7:11 (cf. κορβανᾶς). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2879	the Greek of <a href='/Strongs/strongs-h7141I' onclick='return ABMM("/Strongs","/strongs-h7141I");'>h7141I</a>	Κορέ	Kore	Korah	N:N-M-P	<b>Κορέ </b> indecl. (in FlJ, -έου), ὁ (Heb. קֶרַח) <b>Korah</b>: Ju 11. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2880		κορέννυμι	korennumi	to satisfy	G:V	<b>κορέννυμι</b> (κόρος, surfeit), [in Symmachus: Psa.22:27, Al, Psa.103:5 *;] <b>to satisfy</b>: pass, τροφῆς, Act.27:38; metaphorically, of spiritual things, 1Co.4:8. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2881	a Group member of <a href='/Strongs/strongs-g2882' onclick='return ABMM("/Strongs","/strongs-g2882");'>g2882</a>	Κορίνθιος	Korinthios	Corinthian	N:N--LG	<b>κορίνθιος</b>, -α, -ον <b>Corinthian</b>; as subst, ὁ Κ, <b>a Corinthian</b>: Act.18:8 27:1-44 (WH, txt, R, omit), 2Co.6:11; 1Co, 2Co, tit. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2882		Κόρινθος	Korinthos	Corinth	N:N-F-L	<b>Κόρινθος</b>, -ου, ἡ <b>Corinth</b>: Act.18:1, 27 19:1, 1Co.1:2, 2Co.1:1 1:23, 2Ti.4:20. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2883		Κορνήλιος	Kornēlios	Cornelius	N:N-M-P	<b>Κορνήλιος</b>, -ου, ὁ (Lat.) <b>Cornelius</b>: Act.10:1 ff. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2884		κόρος	koros	cor	G:N-M	<b>κόρος</b>, -ου, ὁ (Heb. כֹּר), [in LXX: Lev.27:16, Num.11:32, Eze.45:13 (חֹמֶר); more freq, 2Ch.27:5, al.(כֹּר);] <b>a cor, a Hebrew measure </b>(AV, RV, measure): Luk.16:7. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2885		κοσμέω	kosmeō	to arrange	G:V	<b>κοσμέω</b>, -ῶ (κόσμος), [in LXX for עָדָה, תָּקַן, etc;] 1) <b>to order, arrange, prepare </b>(in Hom. esp. of marshalling armies): Mat.25:7 (cf. Sir.50:9, al.). 2) <b>to adorn, furnish</b>: οἶκον, pass, Mat.12:44, Luk.11:25; μνημεῖα, Mat.23:29; τὸ ἱερόν, pass, Luk.21:5; θεμέλιοι, Rev.21:19; νύμφην, pass, Rev.21:2; ἐαυτάς, before ἐν, 1Ti.2:9. Metaphorical, with accusative of person(s), 1Pe.3:5; with accusative of thing(s), Tit.2:10. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2886		κοσμικός	kosmikos	earthly	G:A	<b>κοσμικός</b>, -ή, -όν (κόσμος) 1) pertaining to the world or universe. 2) of this world, earthly. Heb.9:1. 3) <b>In ethical sense, worldly</b>: ἐπιθυμίαι, Tit.2:12. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
2887		κόσμιος	kosmios	respectable	G:A	<b>κόσμιος</b>, -ον (in cl. -α, -ον), (κόσμος), [in LXX: Ecc.12:9 (תָּקַן)*;] <b>orderly, decent, modest</b>: 1Ti.2:9 (WH, mg, -ίως, which see) 1Ti.3:2. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
